,features,importance,select_tree,rank_rfecv,selected_rfecv,corr
47, Inventory Turnover Rate (times),0.0018750740066775713,True,1,True,0.012556201970267715
71, Quick Asset Turnover Rate,0.0,True,1,True,0.03694620983521069
61, Inventory/Working Capital,0.025643628833605076,True,1,True,0.055539126821275396
56, Cash/Total Assets,0.02368074850551484,True,1,True,0.15082849351655386
55, Current Assets/Total Assets,0.0038322500384362075,True,1,True,0.044232405603320826
52, Allocation rate per person,0.022251143302545157,True,1,True,0.09236752178888416
42, Net profit before tax/Paid-in capital,0.04416362113662206,True,1,True,0.2331062752864571
39, Borrowing dependency,0.05167922554351227,True,1,True,0.21509393793609705
37, Net worth/Assets,0.007175984395610559,False,1,True,0.21723698246024634
34, Interest Expense Ratio,0.04500421381004886,True,1,True,0.13321732198192354
31, Cash Reinvestment %,0.008533180226771362,True,1,True,0.09139738740773193
29, Net Value Growth Rate,0.017380268337947372,True,1,True,0.2034380455610532
15, Net Value Per Share (B),0.12328805580862234,True,1,True,0.2056328422772015
83, Current Liability to Current Assets,0.01252535458142934,True,1,True,0.18955245501766055
13, Interest-bearing debt interest rate,0.04233046092651275,True,1,True,0.11601100583909428
89, Net Income to Stockholder's Equity,0.01021792154528568,True,1,True,0.21905688745767912
91, Degree of Financial Leverage (DFL),0.034816197645709715,True,1,True,0.14713633438270002
86, Total assets to GNP price,0.019881515208617997,True,1,True,0.05511437592746622
8, Non-industry income and expenditure/revenue,0.056084003065133795,True,1,True,0.2048457101361163
10, Operating Expense Rate,0.011437549370497697,True,1,True,0.009967060122167354
11, Research and development expense rate,0.0,False,1,True,0.03846654092674728
17, Net Value Per Share (C),0.012194155301631931,False,2,False,0.20377793102562605
53, Working Capital to Total Assets,0.0029852370073795887,True,3,False,0.17315445146102723
65, Current Liabilities/Equity,0.0,False,4,False,0.18264423790210155
92, Interest Coverage Ratio (Interest expense to EBIT),0.021980532159982417,True,5,False,0.1274702177576714
50, Revenue per person,0.0043000097882580504,True,6,False,0.020597955363727726
78, Equity to Long-term Liability,0.01739632580754075,True,7,False,0.11730168761406239
30, Total Asset Return Growth Rate Ratio,0.00978543326674167,False,8,False,0.10516260759417968
45, Accounts Receivable Turnover,0.012339563602899905,True,9,False,0.02369371817424781
58, Cash/Current Liability,0.016338116708218966,True,10,False,0.14675270866529616
88, Gross Profit to Sales,0.0,False,11,False,0.147641691024087
62, Inventory/Current Liability,0.0,True,12,False,0.056391444094099755
73, Cash Turnover Rate,0.011494087176942386,True,13,False,0.02065909305567429
90, Liability to Equity,0.0,False,14,False,0.20072702849527888
24, Operating Profit Growth Rate,0.01940434161420425,False,15,False,0.09426248612408053
