"","x"
"1","No-code data science is easier than you think.  Learn how to start building models in minutes at our 3-day conference — completely free."
"2","@Mikeyanlam @ARKInvest @richard_chu97 @Soumyazen @TerraPharma1 Teladoc before livongo acquisition is just zoom doctor. That business have a lot competition, everybody think they can do it, Amazon, Walmart etc. However, Livongo changes the picture since there’s data science part not so easy to replicate. It’s dead money until livongo pick up."
"3","@niajmattu @RachelBitecofer @Davidj2040 @EvanMcMullin Because beyond that they don’t agree on anything. People think the aversion to data science and fact is a far right thing. It’s just a general right thing."
"4","@blairnilsson BLAIR!! thank you. I will check the dates and see what i can spin up. I'm more data science than data sec *right* now but I also think I'd love to see what the community is up to!"
"5","@RoshenSethna @Jan_Ainali @ryanko @NavaPBC @MakaelaStephens @ohlookitseric @AliaTB @codeforamerica @exygy @publiccodenet @MMazanec22 @ruthiereisner This is something we think deeply about when we apply technology to criminal justice reform efforts: understanding the unintended consequences of it's use.  And another reason why clear data science and software ethic statements are so important."
"6","@MehNitesh2 @JoTrader4 @WholeMarsBlog Data will be provided at the discretions of  company to whom they think is appropriate to be provided. Those who think its not 10x can prove by generating their own data. I am into Data Science too, but I don't need data to understand.."
"7","Feel free to comment, we did love to hear your thoughts!

Which of these do you think is most emerging in the domain of Data Science?

#DataScience #AI #ML #polltime #DSDojo"
"8","Feel free to comment, we did love to hear your thoughts!

Which of these do you think is most emerging in the domain of Data Science?

#DataScience #AI #ML #polltime #DSDojo"
"9","No-code data science is easier than you think.  Learn how to start building models in minutes at our 3-day conference — completely free."
"10","Probably unpopular opinion, but I think it’s great. Basic stats and data science is probably more broadly relevant than calculus these days. Plus it sounds refreshing, and if done well, it will make school much more fun and help with data literacy :) https://t.co/N5jBadxW5O"
"11","Model creation and deployment doesn’t need to be so difficult! Find out why your peers think we’re the best software for citizen data scientists. https://t.co/JzthaQ4AJI https://t.co/LSO0RS4Ec0"
"12","Thinking about learning AI, I came across a doubt that is the title of this article. The world of development is changing rapidly and I think I could catch that wave. How about you?✨ #artificialintelliegence #machinelearning #datascience https://t.co/s6A5XOrbe7 https://t.co/Ae4n5izvuy"
"13","Thinking about learning AI, I came across a doubt that is the title of this article. The world of development is changing rapidly and I think I could catch that wave. How about you?✨ #artificialintelliegence #machinelearning #datascience https://t.co/s6A5XOrbe7 https://t.co/Ae4n5izvuy"
