Overall	Text
0	no-code data science is easier than you think. learn how to start building models in minutes at our -day conference — completely free.
-2	tel a doc before liv on go acquisition is just zoom doctor. that business have a lot competition, everybody think they can do it, amazon, walmart etc. however, liv on go changes the picture since there’s data science part not so easy to replicate. it’s dead money until liv on go pick up.
0	because beyond that they don’t agree on anything. people think the a version to data science and fact is a far right thing. it’s just a general right thing.
3	blair!! thank you. i will check the dates and see what i can spin up. i'm more data science than data sec *right* now but i also think i'd love to see what the community is up to!
-1	this is something we think deeply about when we apply technology to criminal justice reform efforts: understanding the unintended consequences of it's use. and another reason why clear data science and software ethic statements are so important.
0	data will be provided at the discretions of company to whom they think is appropriate to be provided. those who think its not x can prove by generating their own data. i am into data science too, but i don't need data to understand..
3	feel free to comment, we did love to hear your thoughts! which of these do you think is most emerging in the domain of data science? data science a i ml poll time ds dojo
3	feel free to comment, we did love to hear your thoughts! which of these do you think is most emerging in the domain of data science? data science a i ml poll time ds dojo
0	no-code data science is easier than you think. learn how to start building models in minutes at our -day conference — completely free.
1	probably unpopular opinion, but i think it’s great. basic stats and data science is probably more broadly relevant than calculus these days. plus it sounds refreshing, and if done well, it will make school much more fun and help with data literacy :)
-1	model creation and deployment doesn’t need to be so difficult! find out why your peers think we’re the best software for citizen data scientists.
-1	thinking about learning ai, i came across a doubt that is the title of this article. the world of development is changing rapidly and i think i could catch that wave. how about you? sparkles artificialintel liegen ce machine learning data science
-1	thinking about learning ai, i came across a doubt that is the title of this article. the world of development is changing rapidly and i think i could catch that wave. how about you? sparkles artificialintel liegen ce machine learning data science
0	... where is this evidence? you need to cite it. puritan? yes, i do think your analysis is incomplete, i am holding you to a higher standard of data science. a bit like mine, which isn't threadbare, and shows mobility is highly correlated to infection.
3	is it ever too early to start learning about data science? we don’t think so, and that’s why we’re so excited to see an ebook for kids to start grasping the core concepts! data science
3	is it ever too early to start learning about data science? we don’t think so, and that’s why we’re so excited to see an ebook for kids to start grasping the core concepts! data science
1	i would think that it is fiscal policy that is supp posed to show “compassion�? like open mindedness…the federal reserve is supposed to follow the data (science)??
0	definitions: data science is "the use of analytical and computational techniques to extract meaning from novel data sources usually for the sake of supporting organisational decision making" -&gt; i like this definition, going to think of how to distil it down for easier use myself
-1	i am trained in data science but you don't need to be to understand a graph. how can you compare september? no one was vaccinated last september as you well know. if you don't think the vaccine works on variants then that is contradicting all scientists who have stated it does.
1	want to learn how to think like a data scientist? take our data science for everyone course this summer. deadline to apply is may for nyu students and may for non-nyu students. visit our website to apply!
-2	agree. there's also a neg impact on rights with measures adopted in a health crisis. if more people understood importance of public health &amp; stopped listening to those who think they understand data/science, fb cranks there would be less need to ‘have to‘ stop people causing risk
-2	agree. there's also a neg impact on rights with measures adopted in a health crisis. if more people understood importance of public health &amp; stopped listening to those who think they understand data/science, fb cranks there would be less need to ‘have to‘ stop people causing risk
-1	model creation and deployment doesn’t need to be so difficult! find out why your peers think we’re the best software for citizen data scientists.
-1	data science is the hottest career out there in the it industry. but everybody is doing it, do you think it is the best for you? to know more about data science. register for the webinar now data science training edu reka ridiculously committed
1	think like a data scientist: tackle the data science process step-by-step data science
1	think like a data scientist: tackle the data science process step-by-step data science
1	another one for to think about. the moment of measurement is sometimes lost in the world of bigger, better (?) data. truth matters - and can’t be found in the spreadsheet (or dataset) alone.
-1	data science is the hottest career out there in the it industry. but everybody is doing it, do you think it is the best for you? to know more about data science. register for the webinar now data science training edu reka ridiculously committed
1	two projects due tomorrow at am, and then there’s just one left. i’m so ready for this semester to be over! i think as a treat for making it, i’ll purchase a handful of fun data science t-shirts so i can code in style.
-1	data science is the hottest career out there in the it industry. but everybody is doing it, do you think it is the best for you? to know more about data science. register for the webinar now data science training edu reka ridiculously committed
-1	data science is the hottest career out there in the it industry. but everybody is doing it, do you think it is the best for you? to know more about data science. register for the webinar now data science training edu reka ridiculously committed
-1	data science is the hottest career out there in the it industry. but everybody is doing it, do you think it is the best for you? to know more about data science. register for the webinar now data science training edu reka ridiculously committed
1	authenticity in data science up next. answering what is trust? = authenticity = consumer confidence = we don’t think about it enough gita ucon b nts
1	authenticity in data science up next. answering what is trust? = authenticity = consumer confidence = we don’t think about it enough gita ucon b nts
0	rt: data science ctrl no-code data science is easier than you think. learn how to build models in minutes at alteryxinspire.
0	no-code data science is easier than you think. learn how to build models in minutes at alteryxinspire.
0	no-code data science is easier than you think. learn how to build models in minutes at alteryxinspire.
1	i think we are starting to get that u are a doctor. i sell software so data is a big deal. we call it data science so show us your science on texas co vid since march please doctor.
0	i totally agree with this, but i am not sure "data science == data cleaning/processing", b/c data science includes modeling. so people can think they do/teach ds without teaching/doing data processing.
1	i think econometrics or stats pairs best here. because those outputs are meant to be looked at by a human. software engineering style data science less so.
-1	this summer,st yr otterbein students will be reading "factfulness: ten reasons we’re wrong about the world–and why things are better than you think," a non-fiction book about data science. otterbein common book common book summer reading fact fulness
0	what year was data science was created as a job i personally think the person should get % compensation for using their data
1	in my case it was "learn a thing that people think you have to be really smart to understand, whether or not that's true". in my case, that was functional programming. a few years later the hot ticket seemed to be data science. right now it still seems to be machine learning.
1	want to learn how to think like a data scientist? take our data science for everyone course this summer. deadline to apply is may for nyu students and may for non-nyu students. visit our website to apply!
-1	this summer,st yr otterbein students will be reading "factfulness: ten reasons we’re wrong about the world–and why things are better than you think," a non-fiction book about data science. otterbein common book common book summer reading fact fulness
1	just out of interest: would people who left academia yrs ago, with zero scientific achievements since then, but lots of real world data science experience even stand a chance, you think? asking for a friend, obviously.
0	i don’t think in most big name pubs even the journalist writing the story can directly control the headline. copy editors and data science is usually responsible.
1	title: good data scientist, bad data scientist : "data scientist" is a pretty good language to describe data. i think this is a fair title in terms of how to write a data scientist. the term is ambiguous but as the article points out you don't need to do a data science…
-1	model creation and deployment doesn’t need to be so difficult! find out why your peers think we’re the best software for citizen data scientists.
0	i think py caret is going to be the next sk learn for ml and data science in python.
0	i didn't think i had a favorite until i worked in python for data science for a year and then got a job that wanted me to work in c. all i want is to go back to python... :(
0	i didn't think i had a favorite until i worked in python for data science for a year and then got a job that wanted me to work in c. all i want is to go back to python... :(
1	i agree with you both haha. i think j up y ter lab is in the same category as r studio etc, though i don't think i'd call it an ide, may be an id se (integrated data science environment). i think it's worth emphasizing the order of priorities to be ds first, developing second
1	i agree with you both haha. i think j up y ter lab is in the same category as r studio etc, though i don't think i'd call it an ide, may be an id se (integrated data science environment). i think it's worth emphasizing the order of priorities to be ds first, developing second
-1	model creation and deployment doesn’t need to be so difficult! find out why your peers think we’re the best software for citizen data scientists.
0	i think the display was a one-off demonstration, but it was this observatory:
1	a i gets the glory but ml is quietly making fortunes when we think about the future of data science, it’s easy to get carried away. for a couple of decades now, if you bel ..
0	no-code data science is easier than you think. learn how to start building models in minutes at our -day conference — completely free.
1	another one for to think about. the moment of measurement is sometimes lost in the world of bigger, better (?) data. truth matters - and can’t be found in the spreadsheet (or dataset) alone.
0	up students,if you do internal transfer,do you transfer to first year of that degree? because i don’t think i want to transfer to second year of data science...
-1	as the harvard business review recognised back in , data science is the new ‘sexy’ role on the block. so when should you think about hiring a data scientist for your business?
1	another one for to think about. the moment of measurement is sometimes lost in the world of bigger, better (?) data. truth matters - and can’t be found in the spreadsheet (or dataset) alone.
0	p.s., if these types of complex systems are an area of interest for you or someone you know, we're hiring … while i don't think that data science can be a control (and has to be used carefully to avoid amplifying inequity) i think might shine a light.
0	so many people say of sports analysts "you think you know everything" but data science has taught me so much about uncertainty and now i see how so many people are certain of things there is no evidence for.
-1	i understand your point that it cuts back on hospitalization and death but do we know where are we heading? there’s no data/science to support that. watch dr. faucci’s segment and think how we can have real world data when there’s no other country had done what we are doing.
1	think like a data scientist: tackle the data science process step-by-step data science
1	think like a data scientist: tackle the data science process step-by-step data science
1	think like a data scientist: tackle the data science process step-by-step data science
1	think like a data scientist: tackle the data science process step-by-step data science
1	think like a data scientist: tackle the data science process step-by-step data science
1	last week on our dsa as series, we looked at data science as a service. let us know what you think it is? you can also head on to our insta gram or linked in emerge iq to find out! data science data machine learning artificial intelligence future
1	think like a data scientist: tackle the data science process step-by-step data science
0	no-code data science is easier than you think. learn how to start building models in minutes at our -day conference — completely free.
0	if you want to be in data science, or in tech, where you live actually matters. it's not the only thing that matters, but you need to think about the optimal city that will give you the most opportunity. data science technology
1	what evidence? anecdotal? "i sat next to a vax xed person and now i'm late for my period", however amusing. is not good data. science is not progressed by rumour...otherwise we'd all still think the earth was flat.
-1	sorry, you don't think the numpy team get recognition? it's one of the most instantly recognisable libraries in all of programming if not just data science...
1	what evidence? anecdotal? "i sat next to a vax xed person and now i'm late for my period", however amusing. is not good data. science is not progressed by rumour...otherwise we'd all still think the earth was flat.
0	i'm mentoring a college student who's an econ major uncertain about her career direction. i think she needs to talk to folks w/ eco degrees who have non-wall-streetish jobs. data science/analysis, behavioural research stuff, etc. anyone wanna volunteer or make a connection?
0	i'm mentoring a college student who's an econ major uncertain about her career direction. i think she needs to talk to folks w/ eco degrees who have non-wall-streetish jobs. data science/analysis, behavioural research stuff, etc. anyone wanna volunteer or make a connection?
0	i'm mentoring a college student who's an econ major uncertain about her career direction. i think she needs to talk to folks w/ eco degrees who have non-wall-streetish jobs. data science/analysis, behavioural research stuff, etc. anyone wanna volunteer or make a connection?
1	i’ll definitely be a listener going forward, i’ve been reading a lot more data science articles on pff and it’s fascinating stuff, the name unexpected points is good but i think your podcast might benefit from having more of a clear identity that people will click for
1	oh wow, really strikes a cord. i agree with you, but i need to mull over a possible alternative vocab word. i joke that we aren't the data science team, we're the smart team that solves difficult/ impossible problems. (we do ds and de) . will need to think of short word alts.
0	new cover idea for elements of data science. (the cover wraps, so the left half is the back and the right half is the front) what do we think?
1	last week on our dsa as series, we looked at data science as a service. let us know what you think it is? you can also head on to our insta gram or linked in emerge iq to find out! data science data machine learning artificial intelligence future
2	gosh, so love being mans plained to about science. as it happens, when you do this type of data comparisons, your first key comparison is to "most similar" entities. if you don't think so, tell me what your data science or bio stat credentials are.
-1	data science is weird, sure that being corrected means more as functional statistic of your slow pace in learning than it does your open-mindedness. this i think is also why a i &amp; machine learning are so important to finesse accuracy out of hard to separate concepts in e-learning
0	would also be interesting if you give a general overview on your thoughts about the differences between data science, statistics, machine learning and ai. or if you think the difference between these terms is meaningless and marketing-driven.
0	ncdsmemberspotlight: “data science is integrated in subject matter and research programs across all nc state colleges and is part of our think and do mindset. at we believe data science is for everyone.�?
1	a i gets the glory but ml is quietly making fortunes when we think about the future of data science, it’s easy to get carried away. for a couple of decades now, if you bel ..
-1	insert existential crisis here... i’m a data science student with hopes of working on emerging ai/ml technology like this... i always think you would still consciously be aware of entering a vr world even w/ insane detail, and no matter how long you’ve been in/on the vr world
0	data science data science is wide rang of spectrum let's commit explorer always to achieve goal...what do you think about and your point of is it valid opin ian thumbs_up
0	data science data science is wide rang of spectrum let's commit explorer always to achieve goal...what do you think about and your point of is it valid opin ian thumbs_up
0	new cover idea for elements of data science. (the cover wraps, so the left half is the back and the right half is the front) what do we think?
0	no-code data science is easier than you think. learn how to start building models in minutes at our -day conference — completely free.
0	new cover idea for elements of data science. (the cover wraps, so the left half is the back and the right half is the front) what do we think?
0	i think i'll use this for npa data science... 🤷�?♂�?
0	new cover idea for elements of data science. (the cover wraps, so the left half is the back and the right half is the front) what do we think?
2	you think poor people are unintelligent? wow! i lived in a caravan until i was in abject poverty, i tried hard at college having gotten no where in school, eventually i got through university gaining a msc in computer science. i now run the data science group in my workplace.
1	you’d think an academically esteemed institute would value measurable &amp; actionable data that can be used to make more precise decision on player &amp; program development. if nothing else data science students could use the information to further real world education &amp; experience
0	new cover idea for elements of data science. (the cover wraps, so the left half is the back and the right half is the front) what do we think?
0	new cover idea for elements of data science. (the cover wraps, so the left half is the back and the right half is the front) what do we think?
1	probably unpopular opinion, but i think it’s great. basic stats and data science is probably more broadly relevant than calculus these days. plus it sounds refreshing, and if done well, it will make school much more fun and help with data literacy :)
0	new cover idea for elements of data science. (the cover wraps, so the left half is the back and the right half is the front) what do we think?
