errors,correct,category,match
Massa di Faicchio,Faicchio,LAU,1
San Michele di Pratola Serra,Pratola Serra,LAU,1
Frasso Teleseino,Frasso Telesino,LAU,1
Forio d’Ischia,Forio,LAU,1
Macchia di Montecorvino Rovella,Montecorvino Rovella,LAU,1
Celsi di Forino,Forino,LAU,1
S.Carlo di Sessa Aurunca,Sessa Aurunca,LAU,1
Casertavecchia,Caserta,LAU,1
San Michele di Pratola,Pratola Serra,LAU,1
Pollenatrocchia,Pollena Trocchia,LAU,1
"Frazione Capitignano	Tramonti",Tramonti,LAU,1
Forio d'Ischia,Forio,LAU,1
Frazione Capitignano,capitignano,LAU,1
Sant'Agata dei Goti,sant'agata de' goti,LAU,1
"Ischia, Fraz. Campagnano",Ischia,LAU,1
Sant’Angelo all’Esca,sant'angelo all'esca,LAU,1
Casale di Carinola,casale di scodosia,LAU,1
Capaccio,calascio,LAU,1
Piedimonte di Sessa Aurunca,piedimonte san germano,LAU,1
S. Angelo All’Esca,sant'angelo all'esca,LAU,1
Casale di Carinola,casale di scodosia,LAU,0
Casertavecchia,civitavecchia,LAU,0
Casale di Carinola,casale di scodosia,LAU,0
Casertavecchia,volturara appula,LAU,0
"Ischia, Fraz. Campagnano",castel campagnano,LAU,0
Massa di Faicchio,massa di somma,LAU,0
Piedimonte di Sessa Aurunca,piedimonte san germano,LAU,0
Pollenatrocchia,olmeneta,LAU,0
San Michele di Pratola,san michele di serino,LAU,0
San Michele di Pratola Serra,san michele di ganzaria,LAU,0
San Michele di Pratola,san michele di ganzaria,LAU,0
San Michele di Pratola Serra,chiusa di san michele,LAU,0
Acerra,Acerra,LAU,1
Agropoli,Agropoli,LAU,1
Altavilla Irpina,Altavilla Irpina,LAU,1
Aquara,Aquara,LAU,1
Ariano Irpino,Ariano Irpino,LAU,1
Atripalda,Atripalda,LAU,1
Avellino,Avellino,LAU,1
Bacoli,Bacoli,LAU,1
Benevento,Benevento,LAU,1
Bonea,Bonea,LAU,1
Boscotrecase,Boscotrecase,LAU,1
Caiazzo,Caiazzo,LAU,1
Camerota,Camerota,LAU,1
Campagna,Campagna,LAU,1
Candida,Candida,LAU,1
Capaccio,Capaccio,LAU,1
Capaccio Paestum,Capaccio Paestum,LAU,1
Carinaro,Carinaro,LAU,1
Carinola,Carinola,LAU,1
Casalduni,Casalduni,LAU,1
Casale di Carinola,Casale di Carinola,LAU,1
Casertavecchia,Casertavecchia,LAU,1
Castel Campagnano,Castel Campagnano,LAU,1
Castelfranci,Castelfranci,LAU,1
Castellabate,Castellabate,LAU,1
Castelvenere,Castelvenere,LAU,1
Castelvetere sul Calore,Castelvetere sul Calore,LAU,1
Cautano,Cautano,LAU,1
Cellole,Cellole,LAU,1
Celsi di Forino,Celsi di Forino,LAU,1
Ceppaloni,Ceppaloni,LAU,1
Cesinali,Cesinali,LAU,1
Chianche,Chianche,LAU,1
Chiusano Di San Domenico,Chiusano Di San Domenico,LAU,1
Conca della Campania,Conca della Campania,LAU,1
Dugenta,Dugenta,LAU,1
Ercolano,Ercolano,LAU,1
Falciano del Massico,Falciano del Massico,LAU,1
Foglianise,Foglianise,LAU,1
Fontanarosa,Fontanarosa,LAU,1
Forino,Forino,LAU,1
Forio dâ€™Ischia,Forio dâ€™Ischia,LAU,1
Forio d'Ischia,Forio d'Ischia,LAU,1
Frasso Teleseino,Frasso Teleseino,LAU,1
Frasso Telesino,Frasso Telesino,LAU,1
Frazione Capitignano,Frazione Capitignano,LAU,1
