"Vino","Denominazione","Colore","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"Taurasi","Taurasi","Rosso","Agricola Boccella","Color rubino limpido; l’olfatto è subito intenso e mostra una buona complessità. I fiori rossi secchi fanno da preludio ad un frutto pieno, consistente, croccante, amarena, ciliegia nera, cassis, mora, poi seguono le note pepate, grafite, sbuffi di spezie dolci. All’esame gusto-olfattivo è secco, caldo e morbido.","100% Aglianico","14,5%","D.O.C.G.","Villaggio S. Eustachio, 16","Castelfranci","Avellino","40.927652, 15.052481","http://www.boccellavini.it/","0827 72574","www.vinix.com",
"Casefatte","Campania","Bianco","Agricola Boccella","Di colore giallo paglierino, profumi agrumati, poi pesca bianca e accenno fumé. In bocca ha evidente spalla acida, ha corpo e vigoria. Chiude con nota amarognola e lungo finale lievemente mentolato.","100% Fiano","13%","I.G.T.","Villaggio S. Eustachio, 16","Castelfranci","Avellino","40.927652, 15.052481","http://www.boccellavini.it/","0827 72574","http://www.doctorwine.it/",
"Rasott","Irpinia Campi Taurasini","Rosso","Agricola Boccella","Color rubino limpido; l’olfatto è subito intenso e mostra una buona complessità. I fiori rossi secchi fanno da preludio ad un frutto pieno, consistente, croccante, amarena, ciliegia nera, cassis, mora, poi seguono le note pepate, grafite, sbuffi di spezie dolci. All’esame gusto-olfattivo è secco, caldo e morbido.","100% Aglianico","14%","D.O.C.","Villaggio S. Eustachio, 16","Castelfranci","Avellino","40.927652, 15.052481","http://www.boccellavini.it/","0827 72574","www.vinix.com",
"Sannio Falanghina","Falanghina del Sannio","Bianco","Agricola Irpina","Colore giallo paglierino con riflessi verdognoli. Si presenta elegantemente fruttato, con sentori di mela renetta, banana ed ananas. Il sapore è secco e gradevolmente acidulo.","100% Falanghina","","D.O.C.","Via Limaturo, 48","San Michele di Pratola Serra","Avellino","40.987214, 14.865230","http://www.agricolairpina.com/it/chi_siamo.php","0825 967038","",
"Irpinia Aglianico","Irpinia","Rosso","Agricola Irpina","Di colore rosso rubino, ha profumo intenso, sapore pieno e persistente.","85-90% Aglianico; 15-10% Merlot o Sangiovese","","D.O.C.","Via Limaturo, 48","San Michele di Pratola Serra","Avellino","40.987214, 14.865230","http://www.agricolairpina.com/it/chi_siamo.php","0825 967038","",
"Sannio Coda di Volpe","Sannio","Bianco","Agricola Irpina","Colore giallo paglierino, profumo gradevole, sapore armonico e delicato.","100% Coda di Volpe","","D.O.C.","Via Limaturo, 48","San Michele di Pratola Serra","Avellino","40.987214, 14.865230","http://www.agricolairpina.com/it/chi_siamo.php","0825 967038","",
"Greco di Tufo","Greco di Tufo","Bianco","Agricola Irpina","Asciutto, pulito, aromaticamente e delicatamente profumato.","100% Greco","","D.O.C.G.","Via Limaturo, 48","San Michele di Pratola Serra","Avellino","40.987214, 14.865230","http://www.agricolairpina.com/it/chi_siamo.php","0825 967038","",
"Taurasi","Taurasi","Rosso","Agricola Irpina","Colore rosso rubino che acquista riflessi arancioni con l'invecchiamento, odore caratteristico ed intenso, sapore pieno, armonico e persistente.","85-90% Aglianico; 15-10% Merlot o Sangiovese","12,5%","D.O.C.G.","Via Limaturo, 48","San Michele di Pratola Serra","Avellino","40.987214, 14.865230","http://www.agricolairpina.com/it/chi_siamo.php","0825 967038","http://www.vinit.net",
"Fiano di Avellino","Fiano di Avellino","Bianco","Agricola Irpina","Vino di straordinaria eleganza, delicato, armonico e gradevole, dal sapore di nocciole tostate.","100% Fiano","13,5%","D.O.C.G.","Via Limaturo, 48","San Michele di Pratola Serra","Avellino","40.987214, 14.865230","http://www.agricolairpina.com/it/chi_siamo.php","0825 967038","http://www.vinit.net",
"Sannio Aglianico","Sannio","Rosso","Agricola Irpina","Ha colore rosso rubino, profumo delicato e fruttato, sapore fragrante, asciutto e morbido.","85-90% Aglianico; 15-10% Merlot o Sangiovese","","D.O.C.","Via Limaturo, 48","San Michele di Pratola Serra","Avellino","40.987214, 14.865230","http://www.agricolairpina.com/it/chi_siamo.php","0825 967038","",
"Ischia Bianco Superiore","Ischia","Bianco","Agricola San Domenico","Colore giallo paglierino, dal sentore vinoso, delicato, gradevole. Al palato risulta asciutto, di giusto corpo, armonico.","Biancolella; Forastera","12%","D.O.C.","Via Chiena, 2","Forio d'Ischia","Napoli","40.73122277855873,13.860394209623337","http://www.sandomenico.eu","081 5071464","http://www.vinit.net/vini/cantine/Campania/Napoli/Forio/Agricola_San_Domenico_1604.html",
"Ischia Rosso","Ischia","Rosso","Agricola San Domenico","Colore rosso rubino, dal sentore vinoso. Al palato risulta asciutto, di medio corpo, giustamente tannico.","Piedirosso; Guarnaccia","12,5%","D.O.C.","Via Chiena, 2","Forio d'Ischia","Napoli","40.73122277855873,13.860394209623337","http://www.sandomenico.eu","081 5071464","http://www.vinit.net/vini/cantine/Campania/Napoli/Forio/Agricola_San_Domenico_1604.html",
"Cannizzaro","Roccamonfina","Bianco","Agricola San Teodoro","Vino dal colore giallo paglierino con sapore sapido fine ed equilibrato a lunga persistenza, dal profumo fruttato intenso, con sentori di ananas, banana e mela acerba","100% Fiano","13%","I.G.P.","Via Provinciale, Loc. Martocci","Galluccio","Caserta","41.337258, 13.919779","http://www.agricolasanteodoro.it/","0823 797350","",
"Mater","Roccamonfina","Bianco","Agricola San Teodoro","Vino dal colore giallo paglierino con saporesapido e vellutato, daiprofumi intensi epersistenti di ananas,vaniglia e mela acerba.","100% Falanghina","13%","I.G.T.","Via Provinciale, Loc. Martocci","Galluccio","Caserta","41.337258, 13.919779","http://www.agricolasanteodoro.it/","0823 797350","",
"Sedici","Roccamonfina","Rosso","Agricola San Teodoro","Vino novello dall'aspetto visivo di un rosso rubino, con sapore sapido fine ed equilibrato a lunga persistenza, dal profumo fruttato intenso, con sentori di ciliegia, amarena e frutti di bosco.","75% Aglianico; 15% Cabernet Souvignon; 10% Piedirosso","13%","I.G.T.","Via Provinciale, Loc. Martocci","Galluccio","Caserta","41.337258, 13.919779","http://www.agricolasanteodoro.it/","0823 797350","",
"Res Capuae","Roccamonfina","Bianco","Agricola San Teodoro","Aspetto visivo giallo paglierino dal sapore sapido e vellutato dai profumi intensi di frutti tropicali e vaniglia.","100% Falanghina","13%","I.G.T.","Via Provinciale, Loc. Martocci","Galluccio","Caserta","41.337258, 13.919779","http://www.agricolasanteodoro.it/","0823 797350","",
"Con Templo","Roccamonfina","Rosso","Agricola San Teodoro","Vino di grande vivacità e freschezza, dal colore brillante, sapore pieno. Profumo vinoso intenso con leggero aroma di ciliege.","75% Aglianico; 15% Cabernet Souvignon; 10% Piedirosso","13%","I.G.T.","Via Provinciale, Loc. Martocci","Galluccio","Caserta","41.337258, 13.919779","http://www.agricolasanteodoro.it/","0823 797350","",
"Consiglio di Volpe","Galluccio","Bianco","Agricola San Teodoro","Vino dal colore giallo paglierino con sapore sapido fine ed equilibrato a lunga persistenza, dal profumo fruttato intenso, con sentori di ananas, banana e mela acerba.","100% Falanghina","10-11%","D.O.C.","Via Provinciale, Loc. Martocci","Galluccio","Caserta","41.337258, 13.919779","http://www.agricolasanteodoro.it/","0823 797350","",
"Campapietro","Galluccio","Rosso","Agricola San Teodoro","Dal colore rosso rubino intenso con riflessi granato, è un vino ricco di sentori speziati di pepe nero, cuoio e tabacco, ben infusi con gli aromi del legno","100% Aglianico","14%","D.O.C.","Via Provinciale, Loc. Martocci","Galluccio","Caserta","41.337258, 13.919779","http://www.agricolasanteodoro.it/","0823 797350","",
"Rose'","Roccamonfina","Rosato","Agricola San Teodoro","Colore rosa tenue, dal sentore di rose con intenso profumo fruttato; sapore morbido, delicato e vellutato.","70% Cabernet Souvignon; 20% Aglianico; 10% Piedirosso","13%","I.G.T.","Via Provinciale, Loc. Martocci","Galluccio","Caserta","41.337258, 13.919779","http://www.agricolasanteodoro.it/","0823 797350","",
"Aglianico","Sannio Guardia Sanframondi","Rosso","Aia dei Colombi","Lo stile di questa bottiglia è tradizionale, semplice, con il legno e la frutta perfettamente fusi e in armonia.","100% Aglianico","14-15%","D.O.C.","Contrada Sapienze","Guardia Sanframondi","Benevento","41.238151, 14.596746","http://www.aiadeicolombi.it/","0824 817139","http://www.lucianopignataro.it",
"Jocalis","Beneventano","Bianco","Aia dei Colombi","Vino passito. Al naso accenna una discreta complessità, pesche sotto spirito, miele, caramello, finocchietto, menta. Al palato prevale netta la sensazione di freschezza, molto appagante e piacevole, lunga, ben coniugata ad un dolce mai stucchevole in bocca.","100% Falanghina","14%","I.G.T.","Contrada Sapienze","Guardia Sanframondi","Benevento","41.238151, 14.596746","http://www.aiadeicolombi.it/","0824 817139","www.lucianopignataro.it; http://www.sannioway.it",
"Falanghina","Falanghina del Sannio Guardia Sanframondi","Bianco","Aia dei Colombi","Al naso note di pesca e arancia matura, ma anche buon allungo speziato di zafferano e poi cenni di idrocarburi. Al palato è freschissimo, pieno, caldo, lungo, con un piacevole sottofondo amaro.","100% Falanghina","13-13,5%","D.O.C.","Contrada Sapienze","Guardia Sanframondi","Benevento","41.238151, 14.596746","http://www.aiadeicolombi.it/","0824 817139","http://www.lucianopignataro.it",
