"Vino","Denominazione","Colore","Tipologia","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"Casefatte","Campania","Bianco","Fiano","Agricola Boccella","","100% Fiano","","I.G.T.","Villaggio S. Eustachio, 16","Castelfranci","Avellino","40.927652, 15.052481","http://www.boccellavini.it/","0827 72574","",
"Rasott","Irpinia Campi Taurasini","Rosso","","Agricola Boccella","","100% Aglianico","","D.O.C.","Villaggio S. Eustachio, 16","Castelfranci","Avellino","40.927652, 15.052481","http://www.boccellavini.it/","0827 72574","",
"Taurasi","Taurasi","Rosso","Taurasi","Agricola Boccella","","100% Aglianico","","D.O.C.G.","Villaggio S. Eustachio, 16","Castelfranci","Avellino","40.927652, 15.052481","http://www.boccellavini.it/","0827 72574","",
"Sedici","Roccamonfina","Rosso","Novello","Agricola San Teodoro","Aspetto visivo di un rosso rubino, con sapore sapido fine ed equilibrato a lunga persistenza, dal profumo fruttato intenso, con sentori di ciliegia, amarena e frutti di bosco.","75% Aglianico; 15% Cabernet Souvignon; 10% Piedirosso","13%","I.G.T.","Via Provinciale, Loc. Martocci","Galluccio","Caserta","41.337258, 13.919779","http://www.agricolasanteodoro.it/","0823 797350","",
"Rose'","Roccamonfina","Rosato","","Agricola San Teodoro","Colore rosa tenue, dal sentore di rose con intenso profumo fruttato; sapore morbido, delicato e vellutato.","70% Cabernet Souvignon; 20% Aglianico; 10% Piedirosso","13%","I.G.T.","Via Provinciale, Loc. Martocci","Galluccio","Caserta","41.337258, 13.919779","http://www.agricolasanteodoro.it/","0823 797350","",
"Consiglio di Volpe","Galluccio","Bianco","Galluccio","Agricola San Teodoro","Vino dal colore giallo paglierino con sapore sapido fine ed equilibrato a lunga persistenza, dal profumo fruttato intenso, con sentori di ananas, banana e mela acerba.","100% Falanghina","10-11%","D.O.C.","Via Provinciale, Loc. Martocci","Galluccio","Caserta","41.337258, 13.919779","http://www.agricolasanteodoro.it/","0823 797350","",
"Res Capuae","Roccamonfina","Bianco","Falanghina","Agricola San Teodoro","Aspetto visivo giallo paglierino dal sapore sapido e vellutato dai profumi intensi di frutti tropicali e vaniglia.","100% Falanghina","13%","I.G.T.","Via Provinciale, Loc. Martocci","Galluccio","Caserta","41.337258, 13.919779","http://www.agricolasanteodoro.it/","0823 797350","",
"Campapietro","Galluccio","Rosso","Galluccio","Agricola San Teodoro","Dal colore rosso rubino intenso con riflessi granato, è un vino ricco di sentori speziati di pepe nero, cuoio e tabacco, ben infusi con gli aromi del legno","100% Aglianico","14%","D.O.C.","Via Provinciale, Loc. Martocci","Galluccio","Caserta","41.337258, 13.919779","http://www.agricolasanteodoro.it/","0823 797350","",
"Mater","Roccamonfina","Bianco","Falanghina","Agricola San Teodoro","Vino dal colore giallo paglierino con saporesapido e vellutato, daiprofumi intensi epersistenti di ananas,vaniglia e mela acerba.","100% Falanghina","13%","I.G.T.","Via Provinciale, Loc. Martocci","Galluccio","Caserta","41.337258, 13.919779","http://www.agricolasanteodoro.it/","0823 797350","",
"Con Templo","Roccamonfina","Rosso","Aglianico","Agricola San Teodoro","Vino di grande vivacità e freschezza, dal colore brillante, sapore pieno. Profumo vinoso intenso con leggero aroma di ciliege.","75% Aglianico; 15% Cabernet Souvignon; 10% Piedirosso","13%","I.G.T.","Via Provinciale, Loc. Martocci","Galluccio","Caserta","41.337258, 13.919779","http://www.agricolasanteodoro.it/","0823 797350","",
"Cannizzaro","Roccamonfina","Bianco","Fiano","Agricola San Teodoro","Vino dal colore giallo paglierino con sapore sapido fine ed equilibrato a lunga persistenza, dal profumo fruttato intenso, con sentori di ananas, banana e mela acerba","100% Fiano","13%","I.G.P.","Via Provinciale, Loc. Martocci","Galluccio","Caserta","41.337258, 13.919779","http://www.agricolasanteodoro.it/","0823 797350","",
"Vignasuprema","Falanghina del Sannio Guardia Sanframondi","Bianco","Falanghina","Aia dei Colombi","","100% Falanghina","14-14,5%","D.O.C.","Contrada Sapienze","Guardia Sanframondi","Benevento","41.238151, 14.596746","http://www.aiadeicolombi.it/","0824 817139","",
"Aglianico","Sannio Guardia Sanframondi","Rosso","Aglianico","Aia dei Colombi","","100% Aglianico","14-14,5%","D.O.C.","Contrada Sapienze","Guardia Sanframondi","Benevento","41.238151, 14.596746","http://www.aiadeicolombi.it/","0824 817139","",
"Jocalis","Beneventano","Bianco","Falanghina Passito","Aia dei Colombi","","100% Falanghina","","I.G.T.","Contrada Sapienze","Guardia Sanframondi","Benevento","41.238151, 14.596746","http://www.aiadeicolombi.it/","0824 817139","",
"Fiano","Sannio Guardia Sanframondi","Bianco","Fiano","Aia dei Colombi","","100% Fiano","13-13,5%","D.O.C.","Contrada Sapienze","Guardia Sanframondi","Benevento","41.238151, 14.596746","http://www.aiadeicolombi.it/","0824 817139","",
"Falanghina","Falanghina del Sannio Guardia Sanframondi","Bianco","Falanghina","Aia dei Colombi","","100% Falanghina","13-13,5%","D.O.C.","Contrada Sapienze","Guardia Sanframondi","Benevento","41.238151, 14.596746","http://www.aiadeicolombi.it/","0824 817139","",
"Colle dell'Aia","Sannio Guardia Sanframondi","Rosso","Aglianico Riserva","Aia dei Colombi","","100% Aglianico","14,5-15%","D.O.C.","Contrada Sapienze","Guardia Sanframondi","Benevento","41.238151, 14.596746","http://www.aiadeicolombi.it/","0824 817139","",
"San Matteo","Paestum","Bianco","Fiano","Alfonso Rotolo","","100% Fiano","","I.G.T.","Via San Cesareo, 18","Rutino","Salerno","40.300380, 15.071797","http://www.alfonsorotolo.it/","0974 83005","",
"Vola lontano","Vino Spumante","Bianco","Brut","Alfonso Rotolo","","","","V.S.","Via San Cesareo, 18","Rutino","Salerno","40.300380, 15.071797","http://www.alfonsorotolo.it/","0974 83005","",
"Rose d'autunno","Paestum","Rosato","","Alfonso Rotolo","","100% Aglianico","","I.G.T.","Via San Cesareo, 18","Rutino","Salerno","40.300380, 15.071797","http://www.alfonsorotolo.it/","0974 83005","",
"Passula","Paestum","Bianco","Passito","Alfonso Rotolo","","Moscato e Malvasia","","I.G.T.","Via San Cesareo, 18","Rutino","Salerno","40.300380, 15.071797","http://www.alfonsorotolo.it/","0974 83005","",
"Valentina","Paestum","Bianco","Fiano","Alfonso Rotolo","","100% Fiano","","I.G.T.","Via San Cesareo, 18","Rutino","Salerno","40.300380, 15.071797","http://www.alfonsorotolo.it/","0974 83005","",
"Urmi","Cilento","Rosso","Aglianico","Alfonso Rotolo","","80% Aglianico; 20 Piedirosso","","D.O.C.","Via San Cesareo, 18","Rutino","Salerno","40.300380, 15.071797","http://www.alfonsorotolo.it/","0974 83005","",
"Le Ghiandaie","Cilento","Rosso","Aglianico","Alfonso Rotolo","","100% Aglianico","","D.O.C.","Via San Cesareo, 18","Rutino","Salerno","40.300380, 15.071797","http://www.alfonsorotolo.it/","0974 83005","",
