municipality,nuts3_code
NULL,NULL
Cautano,NULL
Tufo,NULL
Torrecuso,NULL
Pratola Serra,NULL
Paupisi,NULL
Ariano Irpino,NULL
Aquara,NULL
Bacoli,NULL
Montefalcione,NULL
Montecorvino Pugliano,NULL
San Cipriano Picentino,NULL
Chiusano di San Domenico,NULL
Ravello,NULL
Forino,NULL
Terzigno,NULL
Vietri sul Mare,NULL
Massa di Faicchio,NULL
Ceppaloni,NULL
Torre Annunziata,NULL
Torre le Nocelle,NULL
Sessa Aurunca,NULL
Rocca d'Evandro,NULL
Falciano del Massico,NULL
Sant'Arsenio,NULL
Sturno,NULL
Grottaminarda,NULL
Quarto,NULL
Paduli,NULL
San Michele di Serino,NULL
Carinola,NULL
Ischia,NULL
Sant'Angelo all'Esca,NULL
Lacco Ameno,NULL
Frasso Telesino,NULL
San Michele di Pratola Serra,NULL
Manocalzati,NULL
Frasso Teleseino,NULL
Santa Paolina,NULL
Montesarchio,NULL
Rutino,NULL
Sant'Antonio Abate,NULL
Monte di Procida,NULL
Dugenta,NULL
Forio dâ€™Ischia,NULL
Montemarano,NULL
Summonte,NULL
Macchia di Montecorvino Rovella,NULL
Mirabella Eclano,NULL
Agropoli,NULL
Celsi di Forino,NULL
San Lupo,NULL
Sant'Anastasia,NULL
Lusciano,NULL
Prignano Cilento,NULL
Teano,NULL
S.Carlo di Sessa Aurunca,NULL
Castel Campagnano,NULL
Casertavecchia,NULL
San Michele di Pratola,NULL
Pollenatrocchia,NULL
Castelfranci,NULL
Camerota,NULL
Solopaca,NULL
Tramonti,NULL
San Giuseppe Vesuviano,NULL
Sorbo Serpico,NULL
Castellabate,NULL
Piana di Monte Verna,NULL
"Frazione Capitignano	Tramonti",NULL
Frigento,NULL
Foglianise,NULL
Pozzuoli,NULL
Luogosano,NULL
Forio d'Ischia,NULL
Montecorvino Rovella,NULL
Castelvetere sul Calore,NULL
Cesinali,NULL
Caiazzo,NULL
Gricignano di Aversa,NULL
Taurasi,NULL
Giffoni Valle Piana,NULL
Telese Terme,NULL
Vitulano,NULL
San Lorenzello,NULL
Frazione Capitignano,NULL
Campagna,NULL
Bonea,NULL
Trecase,NULL
San Sebastiano al Vesuvio,NULL
Ponte,NULL
Ottaviano,NULL
Grottolella,NULL
Vallo della Lucania,NULL
Fontanarosa,NULL
Candida,NULL
Boscotrecase,NULL
Nola,NULL
Chianche,NULL
Chiusano Di San Domenico,NULL
Acerra,NULL
Piano di Sorrento,NULL
Altavilla Irpina,NULL
Cellole,NULL
Venticano,NULL
Sant'Agata dei Goti,NULL
Furore,NULL
"Ischia, Fraz. Campagnano",NULL
Montefredane,NULL
Paternopoli,NULL
Conca della Campania,NULL
Santâ€™Angelo allâ€™Esca,NULL
Pontelatone,NULL
Montefusco,NULL
Castelvenere,NULL
Mondragone,NULL
Casalduni,NULL
Casale di Carinola,NULL
Lapio,NULL
Atripalda,NULL
Liberi,NULL
Capaccio,NULL
Capaccio Paestum,NULL
San Mango sul Calore,NULL
Salza Irpina,NULL
Torrioni,NULL
Carinaro,NULL
Sorrento,NULL
Ercolano,NULL
Guardia Sanframondi,NULL
Galluccio,NULL
Sant'Angelo a Fasanella,NULL
Prata di Principato Ultra,NULL
Piedimonte di Sessa Aurunca,NULL
S. Angelo Allâ€™Esca,NULL
Avellino,ITF34
Benevento,ITF32
Napoli,ITF33
