nuts3_code,lau_code,lau_name,pop,area
ITC11,1001,Agliè,2548,13146200
ITC11,1002,Airasca,3569,15739300
ITC11,1003,Ala di Stura,448,46331500
ITC11,1004,Albiano d'Ivrea,1650,11731400
ITC11,1006,Almese,6448,17875600
ITC11,1007,Alpette,238,5626100
ITC11,1008,Alpignano,16732,11919300
ITC11,1009,Andezeno,2030,7486000
ITC11,1010,Andrate,485,9308500
ITC11,1011,Angrogna,838,38878200
ITC11,1012,Arignano,1094,8166800
ITC11,1013,Avigliana,12526,23217200
ITC11,1014,Azeglio,1234,9960500
ITC11,1015,Bairo,778,7085900
ITC11,1016,Balangero,3110,13006300
ITC11,1017,Baldissero Canavese,531,4506400
ITC11,1018,Baldissero Torinese,3626,15405400
ITC11,1019,Balme,113,62710500
ITC11,1020,Banchette,3094,2028900
ITC11,1021,Barbania,1571,12802700
ITC11,1022,Bardonecchia,3096,132203000
ITC11,1023,Barone Canavese,556,3986400
ITC11,1024,Beinasco,17557,6734300
ITC11,1025,Bibiana,3441,18597900
ITC11,1026,Bobbio Pellice,535,94081900
ITC11,1027,Bollengo,2114,14223400
ITC11,1028,Borgaro Torinese,11838,11103900
ITC11,1029,Borgiallo,587,6964800
ITC11,1030,Borgofranco d'Ivrea,3621,13418900
ITC11,1031,Borgomasino,766,12371200
ITC11,1032,Borgone Susa,2189,4961700
ITC11,1033,Bosconero,3082,10919000
ITC11,1034,Brandizzo,8644,6291400
ITC11,1035,Bricherasio,4585,22758500
ITC11,1036,Brosso,405,11135000
ITC11,1037,Brozolo,448,8950400
ITC11,1038,Bruino,8517,5570100
ITC11,1039,Brusasco,1479,14359200
ITC11,1040,Bruzolo,1502,12559800
ITC11,1041,Buriasco,1340,14686800
ITC11,1042,Burolo,1120,5476000
ITC11,1043,Busano,1623,5059100
ITC11,1044,Bussoleno,5794,37066100
ITC11,1045,Buttigliera Alta,6372,8097300
ITC11,1046,Cafasse,3353,10231200
ITC11,1047,Caluso,7401,39492500
ITC11,1048,Cambiano,5950,14131400
ITC11,1049,Campiglione Fenile,1354,11086300
ITC11,1050,Candia Canavese,1190,9131800
ITC11,1051,Candiolo,5650,11849900
ITC11,1052,Canischio,275,11950500
ITC11,1053,Cantalupa,2593,11195300
ITC11,1054,Cantoira,601,23031900
ITC11,1055,Caprie,2064,16407800
ITC11,1056,Caravino,899,11537100
ITC11,1057,Carema,742,10257900
ITC11,1058,Carignano,9145,50679000
ITC11,1059,Carmagnola,28342,95714800
ITC11,1060,Casalborgone,1871,20125000
ITC11,1061,Cascinette d'Ivrea,1539,2172600
ITC11,1062,Caselette,3017,14313600
ITC11,1063,Caselle Torinese,13814,23551300
ITC11,1064,Castagneto Po,1749,11473200
ITC11,1065,Castagnole Piemonte,2171,17279600
ITC11,1066,Castellamonte,9806,38706300
ITC11,1067,Castelnuovo Nigra,420,28375600
ITC11,1068,Castiglione Torinese,6484,14134500
ITC11,1069,Cavagnolo,2310,12328500
ITC11,1070,Cavour,5356,48959100
ITC11,1071,Cercenasco,1765,13159500
ITC11,1072,Ceres,1038,28051600
ITC11,1073,Ceresole Reale,165,99814700
ITC11,1074,Cesana Torinese,927,121700100
ITC11,1075,Chialamberto,357,35447800
ITC11,1076,Chianocco,1589,18613400
ITC11,1077,Chiaverano,2056,12022100
ITC11,1078,Chieri,35912,54197500
ITC11,1079,Chiesanuova,234,4118900
ITC11,1080,Chiomonte,866,26754900
ITC11,1081,Chiusa di San Michele,1574,5916500
ITC11,1082,Chivasso,26608,51237800
ITC11,1083,Ciconio,353,3163800
ITC11,1084,Cintano,239,4934500
ITC11,1085,Cinzano,319,6196200
ITC11,1086,Ciriè,18100,17732900
